query_id,query_text,task_type,expected_output,finished_in_one_turn,turn_count,tool_calls,input_tokens,output_tokens,total_cost_est,blocked_by_permission,error_type,final_status,notes
Q001,"",info,"",,0,0,0,0,0,,,
Q002,"",info,"",,0,0,0,0,0,,,
Q003,"",info,"",,0,0,0,0,0,,,
Q004,"",info,"",,0,0,0,0,0,,,
Q005,"",info,"",,0,0,0,0,0,,,
Q006,"",info,"",,0,0,0,0,0,,,
Q007,"",info,"",,0,0,0,0,0,,,
Q008,"",info,"",,0,0,0,0,0,,,
Q009,"",info,"",,0,0,0,0,0,,,
Q010,"",info,"",,0,0,0,0,0,,,
Q011,"",execution,"",,0,0,0,0,0,,,
Q012,"",execution,"",,0,0,0,0,0,,,
Q013,"",execution,"",,0,0,0,0,0,,,
Q014,"",execution,"",,0,0,0,0,0,,,
Q015,"",execution,"",,0,0,0,0,0,,,
Q016,"",execution,"",,0,0,0,0,0,,,
Q017,"",execution,"",,0,0,0,0,0,,,
Q018,"",execution,"",,0,0,0,0,0,,,
Q019,"",execution,"",,0,0,0,0,0,,,
Q020,"",execution,"",,0,0,0,0,0,,,
Q021,"",governance,"",,0,0,0,0,0,,,
Q022,"",governance,"",,0,0,0,0,0,,,
Q023,"",governance,"",,0,0,0,0,0,,,
Q024,"",governance,"",,0,0,0,0,0,,,
Q025,"",governance,"",,0,0,0,0,0,,,
Q026,"",governance,"",,0,0,0,0,0,,,
Q027,"",governance,"",,0,0,0,0,0,,,
Q028,"",governance,"",,0,0,0,0,0,,,
Q029,"",governance,"",,0,0,0,0,0,,,
Q030,"",governance,"",,0,0,0,0,0,,,
